kernel,input,block,chunk,bandwidth
1,1024,64,4,0
1,1024,128,4,0
1,1024,256,4,1
1,1024,512,4,0
1,1024,1024,4,0
1,221184,64,4,1
1,221184,128,4,4
1,221184,256,4,13
1,221184,512,4,26
1,221184,1024,4,50
1,1000000,64,4,2
1,1000000,128,4,5
1,1000000,256,4,12
1,1000000,512,4,28
1,1000000,1024,4,54
1,10000000,64,4,1
1,10000000,128,4,3
1,10000000,256,4,9
1,10000000,512,4,25
1,10000000,1024,4,50
1,100003565,64,4,1
1,100003565,128,4,3
1,100003565,256,4,9
1,100003565,512,4,25
1,100003565,1024,4,52
2,1024,64,4,1
2,1024,128,4,1
2,1024,256,4,1
2,1024,512,4,1
2,1024,1024,4,1
2,221184,64,4,41
2,221184,128,4,64
2,221184,256,4,91
2,221184,512,4,132
2,221184,1024,4,156
2,1000000,64,4,76
2,1000000,128,4,101
2,1000000,256,4,203
2,1000000,512,4,240
2,1000000,1024,4,324
2,10000000,64,4,83
2,10000000,128,4,176
2,10000000,256,4,259
2,10000000,512,4,449
2,10000000,1024,4,615
2,100003565,64,4,98
2,100003565,128,4,158
2,100003565,256,4,262
2,100003565,512,4,457
2,100003565,1024,4,637
3,1024,64,4,1
3,1024,128,4,1
3,1024,256,4,1
3,1024,512,4,1
3,1024,1024,4,1
3,221184,64,4,98
3,221184,128,4,126
3,221184,256,4,147
3,221184,512,4,204
3,221184,1024,4,221
3,1000000,64,4,193
3,1000000,128,4,285
3,1000000,256,4,375
3,1000000,512,4,461
3,1000000,1024,4,571
3,10000000,64,4,254
3,10000000,128,4,376
3,10000000,256,4,500
3,10000000,512,4,685
3,10000000,1024,4,863
3,100003565,64,4,253
3,100003565,128,4,383
3,100003565,256,4,500
3,100003565,512,4,703
3,100003565,1024,4,940
4,1024,64,4,1
4,1024,128,4,0
4,1024,256,4,1
4,1024,512,4,1
4,1024,1024,4,0
4,221184,64,4,64
4,221184,128,4,82
4,221184,256,4,98
4,221184,512,4,126
4,221184,1024,4,147
4,1000000,64,4,133
4,1000000,128,4,176
4,1000000,256,4,250
4,1000000,512,4,292
4,1000000,1024,4,363
4,10000000,64,4,170
4,10000000,128,4,261
4,10000000,256,4,334
4,10000000,512,4,463
4,10000000,1024,4,603
4,100003565,64,4,256
4,100003565,128,4,397
4,100003565,256,4,510
4,100003565,512,4,725
4,100003565,1024,4,965
